"sample_id","material_id","structure_id","snapshot_id","seed","label_family","label_name","label_provenance_id","label_value","label_unit","label_direction_class","label_method","label_source_type","source_citation_or_doi","is_external_to_graph_proxy","synthetic_label_flag","material_validation_allowed","synthetic_only_not_material_validation","forbidden_if_graph_generated","graph_convention_provenance_id","OI_formula_source","OI_ref_value","graph_cutoff_rule","laplacian_convention","rho_convention","attack_matching_rule","B0_OI_norm","B0_onsite_variance","B0_carrier_density","B0_finite_size","B0_batch_or_family","G1_lambda2_Lsym","G1_rho_A_budget_norm","G1_attack_gap_lambda2","label_forbidden_control_audit","validation_use","notes"
"expander_like_000","synthetic_only_not_material","SYN-C2-R2-expander_like_000","synthetic_static_graph","29202","diagnostic_synthetic","Y_A_null_diagnostic","SYN-C2-R2-PLANTED","2.5773130551916186","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.1902185773172097","1.0570309175896146","0.027777777777777776","expander_like","0.35713376529490326","0.05517336688069231","-0.011380828354624332","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_000","synthetic_only_not_material","SYN-C2-R2-expander_like_000","synthetic_static_graph","29202","diagnostic_synthetic","Y_B_positive_diagnostic","SYN-C2-R2-PLANTED","3.1589698251826257","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.1902185773172097","1.0570309175896146","0.027777777777777776","expander_like","0.35713376529490326","0.05517336688069231","-0.011380828354624332","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_001","synthetic_only_not_material","SYN-C2-R2-expander_like_001","synthetic_static_graph","29202","diagnostic_synthetic","Y_A_null_diagnostic","SYN-C2-R2-PLANTED","2.767633825849255","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.07188966886067397","1.1269409700407282","0.027777777777777776","expander_like","0.4567100152713296","0.054790541792276576","-0.22612345913547563","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_001","synthetic_only_not_material","SYN-C2-R2-expander_like_001","synthetic_static_graph","29202","diagnostic_synthetic","Y_B_positive_diagnostic","SYN-C2-R2-PLANTED","3.7018809635053107","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.07188966886067397","1.1269409700407282","0.027777777777777776","expander_like","0.4567100152713296","0.054790541792276576","-0.22612345913547563","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_002","synthetic_only_not_material","SYN-C2-R2-expander_like_002","synthetic_static_graph","29202","diagnostic_synthetic","Y_A_null_diagnostic","SYN-C2-R2-PLANTED","2.4416887591317917","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.33257444017876614","1.1660103292633694","0.027777777777777776","expander_like","0.371194905237824","0.05340787189378414","-0.022535319195539305","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_002","synthetic_only_not_material","SYN-C2-R2-expander_like_002","synthetic_static_graph","29202","diagnostic_synthetic","Y_B_positive_diagnostic","SYN-C2-R2-PLANTED","3.055882394788296","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.33257444017876614","1.1660103292633694","0.027777777777777776","expander_like","0.371194905237824","0.05340787189378414","-0.022535319195539305","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_003","synthetic_only_not_material","SYN-C2-R2-expander_like_003","synthetic_static_graph","29202","diagnostic_synthetic","Y_A_null_diagnostic","SYN-C2-R2-PLANTED","2.554749680105543","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.00000000000001","0.15961988870364385","0.9853273020646991","0.027777777777777776","expander_like","0.4043200418346202","0.05578806723587275","0.06874381455251874","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_003","synthetic_only_not_material","SYN-C2-R2-expander_like_003","synthetic_static_graph","29202","diagnostic_synthetic","Y_B_positive_diagnostic","SYN-C2-R2-PLANTED","3.1397923139436688","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.00000000000001","0.15961988870364385","0.9853273020646991","0.027777777777777776","expander_like","0.4043200418346202","0.05578806723587275","0.06874381455251874","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_004","synthetic_only_not_material","SYN-C2-R2-expander_like_004","synthetic_static_graph","29202","diagnostic_synthetic","Y_A_null_diagnostic","SYN-C2-R2-PLANTED","2.6436394411082214","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.1790203469203417","0.8799391918217625","0.027777777777777776","expander_like","0.3764849136678038","0.055149554155216815","-0.138398438795565","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
"expander_like_004","synthetic_only_not_material","SYN-C2-R2-expander_like_004","synthetic_static_graph","29202","diagnostic_synthetic","Y_B_positive_diagnostic","SYN-C2-R2-PLANTED","3.370573897892716","dimensionless_planted_diagnostic","diagnostic_only","synthetic_planted_protocol_sanity","diagnostic_synthetic","current/B/scripts/C2_residual_benchmark.py","false","true","false","true","true","GRAPH-C2-R2-LSYM-BUDGET-ATTACK","synthetic_budget_rescaled_overlap_capacity","predeclared_synthetic_scale","synthetic_family_generator_edges","L_sym=I-D^-1/2 A_w D^-1/2","spectral_radius(A_w/S_w)","high_betweenness_proxy_vs_matched_random_edges","72.0","0.1790203469203417","0.8799391918217625","0.027777777777777776","expander_like","0.3764849136678038","0.055149554155216815","-0.138398438795565","diagnostic_only_excluded_from_material_validation","software_sanity_only","Generated from C2_residual_benchmark_synthetic_rows.csv; row cannot support material claims."
