q_overflow,mass_over_mp,accessible_fraction,inaccessible_area_proxy,classicality_proxy
0.0,0.0,1.0,0.0,0.0
0.0025,0.002499993574481256,0.9975,6.25e-06,4.999875002087428e-05
0.005,0.0049999485959689545,0.995,2.5e-05,0.00019998000133325533
0.0075,0.007499826512064072,0.9925,5.625e-05,0.0004498987651857522
0.01,0.009999588771556649,0.99,0.0001,0.0007996800853162789
0.0125,0.012499196825020287,0.9875,0.00015625000000000003,0.0012492190754190835
0.015,0.014998612125406643,0.985,0.000225,0.0017983809715627075
0.0175,0.017497796128639866,0.9825,0.00030625000000000004,0.002447001199520349
0.02,0.019996710294210972,0.98,0.0004,0.0031948854569671115
0.0225,0.022495316085772245,0.9775,0.00050625,0.0040418098104865186
0.025,0.024993574971731443,0.975,0.0006250000000000001,0.00498752080731768
0.0275,0.02749144842584605,0.9725,0.00075625,0.006031735601765731
0.03,0.029988897927817403,0.97,0.0009,0.007174142096186609
0.0325,0.03248588496388468,0.9675,0.0010562500000000001,0.008414399096449476
0.035,0.03498237102741886,0.965,0.0012250000000000002,0.009752136481765317
0.0375,0.03747831761951654,0.9625,0.00140625,0.011186955388766906
0.04,0.03997368624959365,0.96,0.0016,0.012718428409709492
0.0425,0.04246843843597901,0.9575,0.0018062500000000003,0.014346099804654733
0.045,0.044962535706507704,0.955,0.002025,0.016069485727491672
0.0475,0.04745593959911451,0.9525,0.00225625,0.01788807446563634
0.05,0.04994861166242692,0.95,0.0025000000000000005,0.019801326693244747
0.0525,0.052440513456358126,0.9475,0.0027562499999999996,0.021808675737762573
0.055,0.05493160655269984,0.945,0.003025,0.023909527859629742
0.0575,0.05742185253571488,0.9425,0.00330625,0.026103262544942885
0.06,0.059911213002729606,0.94,0.0036,0.02838923281087724
0.0625,0.06239964956472615,0.9375,0.00390625,0.03076676552365587
0.065,0.06488712384693436,0.935,0.0042250000000000005,0.033235161728846885
0.0675,0.06737359748942368,0.9325,0.00455625,0.035793696993763446
0.07,0.06985903214769461,0.9299999999999999,0.004900000000000001,0.038441621761730604
0.0725,0.07234338949327007,0.9275,0.00525625,0.041178161717976836
0.075,0.07482663121428654,0.925,0.005625,0.04400251816690004
0.0775,0.07730871901608474,0.9225,0.00600625,0.046913868420451754
0.08,0.07978961462180029,0.92,0.0064,0.04991136619737313
0.0825,0.08226927977295391,0.9175,0.006806250000000001,0.052994142033014224
0.085,0.08474767623004151,0.915,0.007225000000000001,0.05616130369945693
0.08750000000000001,0.08722476577312377,0.9125,0.007656250000000002,0.059411936635657914
0.09,0.08970051020241566,0.91,0.0081,0.06274510438732228
0.0925,0.09217487133887542,0.9075,0.00855625,0.06615984905621075
0.095,0.09464781102479339,0.905,0.009025,0.06965519175857926
0.0975,0.09711929112438046,0.9025,0.00950625,0.07323013309244475
0.1,0.09958927352435615,0.9,0.010000000000000002,0.07688365361336424
0.10250000000000001,0.10205772013453628,0.8975,0.010506250000000002,0.08061471431841016
0.105,0.10452459288842053,0.895,0.011024999999999998,0.08442225713802243
0.1075,0.10698985374377938,0.8925,0.011556249999999999,0.08830520543540954
0.11,0.10945346468324077,0.89,0.0121,0.09226246451317044
0.1125,0.11191538771487639,0.8875,0.01265625,0.09629292212680396
0.115,0.1143755848727875,0.885,0.013225,0.10039544900476849
0.11750000000000001,0.11683401821769057,0.8825,0.013806250000000003,0.104568899374753
0.12,0.11929064983750215,0.88,0.0144,0.1088121114958156
0.1225,0.12174544184792373,0.8775,0.015006249999999999,0.11312390819604623
0.125,0.12419835639302572,0.875,0.015625,0.11750309741540454
